#EXPORTTYPE:                 ,DATA ALL                      
#FILE:                       ,2024_01_13_SL_005K.ngb-ss5    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ASCII                         
#IDENTITY:                   ,SCF3-PS                       
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH STA 449F5             
#PROJECT:                    ,2024_01_08_SL_007B            
#DATE/TIME:                  ,1/13/2024 11:38:44 AM (UTC-5) 
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,28-06-2023 13:26              
#SENSITIVITY:                ,28-06-2023 13:53              
#LABORATORY:                 ,Tran/AAG                      
#OPERATOR:                   ,Stanley                       
#REMARK:                     ,                              
#SAMPLE:                     ,005K                          
#SAMPLE MASS /mg:            ,15.25                         
#MATERIAL:                   ,                              
#REFERENCE:                  ,                              
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open             
#SAMPLE CRUCIBLE MASS /mg:   ,0                             
#REFERENCE CRUCIBLE MASS /mg:,0                             
#DSC RANGE /‘V:              ,5000                          
#TG RANGE /mg:               ,35000                         
#TAU-R:                      ,---                           
#CORR. CODE:                 ,000                           
#EXO:                        ,-1                            
#RANGE:                      ,20›C....800›C/0.0....10.0K/min
#SEGMENT:                    ,S1-5/5                        
#SEG. 1:                     ,20›C/10.0(K/min)/100›C        
#SEG. 2:                     ,100›C/00:10/100›C             
#SEG. 3:                     ,100›C/10.0(K/min)/350›C       
#SEG. 4:                     ,350›C/04:00/350›C             
#SEG. 5:                     ,350›C/10.0(K/min)/800›C       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 26.57800,  0.00000,      0.20469,100.00000,50.00000,20.00000,1.785115e-07,0.92288,1
 27.11200,  0.25000,      0.17681, 99.91246,50.00000,20.00000,1.791286e-07,0.92299,1
 27.63000,  0.50000,      0.16015, 99.89023,50.00000,20.00000,1.801738e-07,0.92310,1
 28.21900,  0.75000,      0.15878, 99.90800,50.00000,20.00000,1.811256e-07,0.92321,1
 28.91200,  1.00000,      0.17008, 99.96439,50.00000,20.00000,1.822567e-07,0.92335,1
 29.69500,  1.25000,      0.18863,100.02302,50.00000,20.00000,1.854514e-07,0.92350,1
 30.55100,  1.50000,      0.21173,100.06970,50.00000,20.00000,1.905754e-07,0.92366,1
 31.50600,  1.75000,      0.23470,100.11869,50.00000,20.00000,1.957564e-07,0.92383,1
 32.51400,  2.00000,      0.25740, 99.65062,50.00000,20.00000,2.008397e-07,0.92400,1
 33.56800,  2.25000,      0.27922, 98.44662,50.00000,20.00000,2.093855e-07,0.92417,1
 34.67700,  2.50000,      0.30130, 98.43993,50.00000,20.00000,2.215412e-07,0.92435,1
 35.85400,  2.75000,      0.32587, 98.49036,50.00000,20.00000,2.285728e-07,0.92453,1
 37.12900,  3.00000,      0.35377, 98.55193,50.00000,20.00000,2.319447e-07,0.92471,1
 38.51800,  3.25000,      0.38535, 98.62538,50.00000,20.00000,2.334691e-07,0.92489,1
 39.99900,  3.50000,      0.42177, 98.70551,50.00000,20.00000,2.342967e-07,0.92508,1
 41.62300,  3.75000,      0.46273, 98.76334,50.00000,20.00000,2.341207e-07,0.92527,1
 43.36500,  4.00000,      0.50740, 98.83311,50.00000,20.00000,2.347465e-07,0.92545,1
 45.26000,  4.25000,      0.55449, 98.90131,50.00000,20.00000,2.340483e-07,0.92562,1
 47.26800,  4.50000,      0.60362, 98.96439,50.00000,20.00000,2.341572e-07,0.92578,1
 49.39400,  4.75000,      0.65340, 99.01115,50.00000,20.00000,2.334616e-07,0.92592,1
 51.63600,  5.00000,      0.70318, 99.05416,50.00000,20.00000,2.327840e-07,0.92604,1
 53.99100,  5.25000,      0.75173, 99.10531,50.00000,20.00000,2.322559e-07,0.92613,1
 56.44500,  5.50000,      0.79814, 99.12315,50.00000,20.00000,2.314170e-07,0.92618,1
 58.97500,  5.75000,      0.84523, 99.15357,50.00000,20.00000,2.306542e-07,0.92620,1
 61.59300,  6.00000,      0.89008, 99.16911,50.00000,20.00000,2.296962e-07,0.92618,1
 64.28200,  6.25000,      0.93375, 99.16026,50.00000,20.00000,2.288841e-07,0.92611,1
 67.04900,  6.50000,      0.97633, 99.15803,50.00000,20.00000,2.279635e-07,0.92599,1
 69.85900,  6.75000,      1.01736, 99.12466,50.00000,20.00000,2.272828e-07,0.92582,1
 72.74600,  7.00000,      1.05733, 99.08826,50.00000,20.00000,2.262697e-07,0.92560,1
 75.68000,  7.25000,      1.09593, 99.04157,50.00000,20.00000,2.254066e-07,0.92532,1
 78.65100,  7.50000,      1.13214, 98.96957,50.00000,20.00000,2.241704e-07,0.92498,1
 81.66300,  7.75000,      1.16655, 98.88426,50.00000,20.00000,2.232961e-07,0.92458,1
 84.70098,  8.00000,      1.19878, 98.77538,50.00000,20.00000,2.218248e-07,0.92413,2
 87.74212,  8.25000,      1.21592, 98.62016,50.00000,20.00000,2.205201e-07,0.92362,2
 90.57986,  8.50000,      1.19550, 98.40342,50.00000,20.00000,2.187307e-07,0.92310,2
 93.17894,  8.75000,      1.14446, 98.12556,50.00000,20.00000,2.178512e-07,0.92258,2
 95.49656,  9.00000,      1.07039, 97.81096,50.00000,20.00000,2.168376e-07,0.92208,2
 97.52945,  9.25000,      0.98100, 97.48537,50.00000,20.00000,2.157319e-07,0.92162,2
 99.28781,  9.50000,      0.88258, 97.15403,50.00000,20.00000,2.149310e-07,0.92120,2
100.80093,  9.75000,      0.78420, 96.85037,50.00000,20.00000,2.142341e-07,0.92083,2
102.11261, 10.00000,      0.69317, 96.56055,50.00000,20.00000,2.135446e-07,0.92049,2
103.27528, 10.25000,      0.61351, 96.30055,50.00000,20.00000,2.131750e-07,0.92019,2
104.33048, 10.50000,      0.54688, 96.06944,50.00000,20.00000,2.124985e-07,0.91991,2
105.28070, 10.75000,      0.49151, 95.86108,50.00000,20.00000,2.120334e-07,0.91965,2
106.17182, 11.00000,      0.44352, 95.66683,50.00000,20.00000,2.114676e-07,0.91940,2
106.97564, 11.25000,      0.40100, 95.49499,50.00000,20.00000,2.110159e-07,0.91917,2
107.69823, 11.50000,      0.36044, 95.32640,50.00000,20.00000,2.104417e-07,0.91896,2
108.30510, 11.75000,      0.32030, 95.17397,50.00000,20.00000,2.101834e-07,0.91878,2
108.83985, 12.00000,      0.28000, 95.03055,50.00000,20.00000,2.095174e-07,0.91863,2
109.28357, 12.25000,      0.23817, 94.88267,50.00000,20.00000,2.089622e-07,0.91849,2
109.62689, 12.50000,      0.19720, 94.75448,50.00000,20.00000,2.075152e-07,0.91839,2
109.88596, 12.75000,      0.15785, 94.61235,50.00000,20.00000,2.071468e-07,0.91831,2
110.08166, 13.00000,      0.12025, 94.49537,50.00000,20.00000,2.065888e-07,0.91825,2
110.18686, 13.25000, 8.553167e-02, 94.38331,50.00000,20.00000,2.058049e-07,0.91822,2
110.25461, 13.50000, 5.356312e-02, 94.27586,50.00000,20.00000,2.057033e-07,0.91820,2
110.26377, 13.75000, 2.514824e-02, 94.18427,50.00000,20.00000,2.048160e-07,0.91820,2
110.20352, 14.00000,-3.650010e-04, 94.09586,50.00000,20.00000,2.047446e-07,0.91822,2
110.13583, 14.25000,-2.340774e-02, 94.01019,50.00000,20.00000,2.042061e-07,0.91824,2
109.99414, 14.50000,-4.321098e-02, 93.93201,50.00000,20.00000,2.034814e-07,0.91828,2
109.85376, 14.75000,-6.129596e-02, 93.85625,50.00000,20.00000,2.041426e-07,0.91832,2
109.66919, 15.00000,-7.770329e-02, 93.78935,50.00000,20.00000,2.035429e-07,0.91838,2
109.46150, 15.25000,-9.233634e-02, 93.73319,50.00000,20.00000,2.031358e-07,0.91844,2
109.23290, 15.50000,     -0.10488, 93.67590,50.00000,20.00000,2.026269e-07,0.91851,2
108.97010, 15.75000,     -0.11568, 93.62116,50.00000,20.00000,2.021417e-07,0.91859,2
108.70988, 16.00000,     -0.12583, 93.56772,50.00000,20.00000,2.019389e-07,0.91867,2
108.42728, 16.25000,     -0.13404, 93.51148,50.00000,20.00000,2.014209e-07,0.91875,2
108.13498, 16.50000,     -0.14180, 93.47344,50.00000,20.00000,2.010562e-07,0.91883,2
107.83048, 16.75000,     -0.14725, 93.42682,50.00000,20.00000,2.006567e-07,0.91892,2
107.50980, 17.00000,     -0.15187, 93.38519,50.00000,20.00000,2.002744e-07,0.91902,2
107.19784, 17.25000,     -0.15588, 93.35260,50.00000,20.00000,1.996188e-07,0.91911,2
106.87948, 17.50000,     -0.15835, 93.31061,50.00000,20.00000,1.995528e-07,0.91920,2
106.57608, 17.75000,     -0.16033, 93.27687,50.00000,20.00000,1.986997e-07,0.91928,2
106.25561, 18.00000,     -0.16123, 93.23718,50.00000,20.00000,1.985030e-07,0.91937,3
105.97574, 18.25000,     -0.15541, 93.21294,50.00000,20.00000,1.979287e-07,0.91945,3
105.83835, 18.50000,     -0.12329, 93.24422,50.00000,20.00000,1.977408e-07,0.91949,3
105.95305, 18.75000,-5.760345e-02, 93.31540,50.00000,20.00000,1.972648e-07,0.91946,3
106.37538, 19.00000, 3.767616e-02, 93.44424,50.00000,20.00000,1.969632e-07,0.91934,3
107.10559, 19.25000,      0.14913, 93.56836,50.00000,20.00000,1.961149e-07,0.91913,3
108.07994, 19.50000,      0.26426, 93.69070,50.00000,20.00000,1.961954e-07,0.91885,3
109.27143, 19.75000,      0.37161, 93.80032,50.00000,20.00000,1.955411e-07,0.91850,3
110.60814, 20.00000,      0.46529, 93.87824,50.00000,20.00000,1.952771e-07,0.91809,3
112.06320, 20.25000,      0.54447, 93.95262,50.00000,20.00000,1.947031e-07,0.91764,3
113.61707, 20.50000,      0.61317, 94.00085,50.00000,20.00000,1.942448e-07,0.91715,3
115.28025, 20.75000,      0.67501, 94.05495,50.00000,20.00000,1.939828e-07,0.91661,3
117.04868, 21.00000,      0.73516, 94.09133,50.00000,20.00000,1.938593e-07,0.91601,3
118.94010, 21.25000,      0.79675, 94.15134,50.00000,20.00000,1.931172e-07,0.91536,3
120.95738, 21.50000,      0.86287, 94.18930,50.00000,20.00000,1.930671e-07,0.91464,3
123.11777, 21.75000,      0.93095, 94.23889,50.00000,20.00000,1.924658e-07,0.91385,3
125.41152, 22.00000,      1.00090, 94.28273,50.00000,20.00000,1.920494e-07,0.91298,3
127.83164, 22.25000,      1.06997, 94.32728,50.00000,20.00000,1.919957e-07,0.91203,3
130.37083, 22.50000,      1.13486, 94.36520,50.00000,20.00000,1.914357e-07,0.91101,3
132.99073, 22.75000,      1.19511, 94.38951,50.00000,20.00000,1.911743e-07,0.90991,3
135.70337, 23.00000,      1.25008, 94.42511,50.00000,20.00000,1.907240e-07,0.90875,3
138.48431, 23.25000,      1.29922, 94.46367,50.00000,20.00000,1.903694e-07,0.90751,3
141.30820, 23.50000,      1.34476, 94.49928,50.00000,20.00000,1.901140e-07,0.90622,3
144.19374, 23.75000,      1.38586, 94.52601,50.00000,20.00000,1.899594e-07,0.90486,3
147.11146, 24.00000,      1.42210, 94.55272,50.00000,20.00000,1.894341e-07,0.90344,3
150.06521, 24.25000,      1.45461, 94.57049,50.00000,20.00000,1.892969e-07,0.90197,3
153.05506, 24.50000,      1.48312, 94.59272,50.00000,20.00000,1.889535e-07,0.90044,3
156.04850, 24.75000,      1.50834, 94.61502,50.00000,20.00000,1.885731e-07,0.89886,3
159.05978, 25.00000,      1.53063, 94.63279,50.00000,20.00000,1.883974e-07,0.89723,3
162.08339, 25.25000,      1.54993, 94.63429,50.00000,20.00000,1.881518e-07,0.89556,3
165.11917, 25.50000,      1.56535, 94.66249,50.00000,20.00000,1.877869e-07,0.89384,3
168.13827, 25.75000,      1.57809, 94.66249,50.00000,20.00000,1.877751e-07,0.89208,3
171.15686, 26.00000,      1.58682, 94.67141,50.00000,20.00000,1.873398e-07,0.89030,3
174.17860, 26.25000,      1.59336, 94.67141,50.00000,20.00000,1.872437e-07,0.88847,3
177.18604, 26.50000,      1.59697, 94.67972,50.00000,20.00000,1.867490e-07,0.88661,3
180.16495, 26.75000,      1.59580, 94.68177,50.00000,20.00000,1.867820e-07,0.88473,3
183.13747, 27.00000,      1.59005, 94.68249,50.00000,20.00000,1.863371e-07,0.88282,3
186.11036, 27.25000,      1.57911, 94.68249,50.00000,20.00000,1.864061e-07,0.88088,3
189.05864, 27.50000,      1.56434, 94.68249,50.00000,20.00000,1.858897e-07,0.87892,3
191.99603, 27.75000,      1.54405, 94.67369,50.00000,20.00000,1.856198e-07,0.87694,3
194.89489, 28.00000,      1.52100, 94.68249,50.00000,20.00000,1.854452e-07,0.87495,3
197.78487, 28.25000,      1.49759, 94.66400,50.00000,20.00000,1.852138e-07,0.87293,3
200.64389, 28.50000,      1.47361, 94.66400,50.00000,20.00000,1.852202e-07,0.87091,3
203.49713, 28.75000,      1.45015, 94.64616,50.00000,20.00000,1.848546e-07,0.86887,3
206.30944, 29.00000,      1.42824, 94.64616,50.00000,20.00000,1.847264e-07,0.86682,3
209.09920, 29.25000,      1.40698, 94.61952,50.00000,20.00000,1.844181e-07,0.86477,3
211.88194, 29.50000,      1.38755, 94.61502,50.00000,20.00000,1.840969e-07,0.86270,3
214.62009, 29.75000,      1.36869, 94.59486,50.00000,20.00000,1.839733e-07,0.86064,3
217.35995, 30.00000,      1.35228, 94.58216,50.00000,20.00000,1.835450e-07,0.85855,3
220.07633, 30.25000,      1.33699, 94.56826,50.00000,20.00000,1.836793e-07,0.85646,3
222.76682, 30.50000,      1.32278, 94.55862,50.00000,20.00000,1.832156e-07,0.85436,3
225.43932, 30.75000,      1.30892, 94.54085,50.00000,20.00000,1.833953e-07,0.85226,3
228.09919, 31.00000,      1.29628, 94.52072,50.00000,20.00000,1.827614e-07,0.85015,3
230.74026, 31.25000,      1.28418, 94.50446,50.00000,20.00000,1.825530e-07,0.84803,3
233.37666, 31.50000,      1.27261, 94.48669,50.00000,20.00000,1.826357e-07,0.84590,3
235.98477, 31.75000,      1.26070, 94.46885,50.00000,20.00000,1.822517e-07,0.84378,3
238.59209, 32.00000,      1.24900, 94.44216,50.00000,20.00000,1.822931e-07,0.84163,3
241.18837, 32.25000,      1.23785, 94.43320,50.00000,20.00000,1.817884e-07,0.83948,3
243.76607, 32.50000,      1.22611, 94.40656,50.00000,20.00000,1.818929e-07,0.83733,3
246.33253, 32.75000,      1.21564, 94.38728,50.00000,20.00000,1.814358e-07,0.83517,3
248.88776, 33.00000,      1.20631, 94.36872,50.00000,20.00000,1.814722e-07,0.83301,3
251.44737, 33.25000,      1.19672, 94.34203,50.00000,20.00000,1.814318e-07,0.83083,3
253.98414, 33.50000,      1.18763, 94.32420,50.00000,20.00000,1.813485e-07,0.82865,3
256.51676, 33.75000,      1.17815, 94.28859,50.00000,20.00000,1.808763e-07,0.82647,3
259.04439, 34.00000,      1.17063, 94.26931,50.00000,20.00000,1.809239e-07,0.82427,3
261.56798, 34.25000,      1.16230, 94.25148,50.00000,20.00000,1.807511e-07,0.82207,3
264.07390, 34.50000,      1.15597, 94.23370,50.00000,20.00000,1.802920e-07,0.81987,3
266.59063, 34.75000,      1.15056, 94.19737,50.00000,20.00000,1.800449e-07,0.81764,3
269.08436, 35.00000,      1.14371, 94.16460,50.00000,20.00000,1.799550e-07,0.81543,3
271.59533, 35.25000,      1.13770, 94.13356,50.00000,20.00000,1.795630e-07,0.81319,3
274.08769, 35.50000,      1.13311, 94.10538,50.00000,20.00000,1.797164e-07,0.81096,3
276.57573, 35.75000,      1.12913, 94.06826,50.00000,20.00000,1.794099e-07,0.80872,3
279.06001, 36.00000,      1.12789, 94.03266,50.00000,20.00000,1.789142e-07,0.80647,3
281.55116, 36.25000,      1.12637, 93.99633,50.00000,20.00000,1.789255e-07,0.80421,3
284.04027, 36.50000,      1.13271, 93.95993,50.00000,20.00000,1.786635e-07,0.80194,3
286.51591, 36.75000,      1.13839, 93.92361,50.00000,20.00000,1.786347e-07,0.79967,3
289.00246, 37.00000,      1.13971, 93.88800,50.00000,20.00000,1.784819e-07,0.79739,3
291.46557, 37.25000,      1.14056, 93.85235,50.00000,20.00000,1.780498e-07,0.79512,3
293.94119, 37.50000,      1.13888, 93.81696,50.00000,20.00000,1.778382e-07,0.79283,3
296.41937, 37.75000,      1.13649, 93.77082,50.00000,20.00000,1.780507e-07,0.79054,3
298.89788, 38.00000,      1.13286, 93.72702,50.00000,20.00000,1.777279e-07,0.78823,3
301.36363, 38.25000,      1.12976, 93.66695,50.00000,20.00000,1.775428e-07,0.78593,3
303.82646, 38.50000,      1.12474, 93.62166,50.00000,20.00000,1.772946e-07,0.78363,3
306.30392, 38.75000,      1.12044, 93.54843,50.00000,20.00000,1.773459e-07,0.78131,3
308.77245, 39.00000,      1.11614, 93.46825,50.00000,20.00000,1.771330e-07,0.77899,3
311.24069, 39.25000,      1.11168, 93.40268,50.00000,20.00000,1.767265e-07,0.77667,3
313.71084, 39.50000,      1.10687, 93.31682,50.00000,20.00000,1.769976e-07,0.77434,3
316.18852, 39.75000,      1.10474, 93.22850,50.00000,20.00000,1.765330e-07,0.77200,3
318.66868, 40.00000,      1.10036, 93.12761,50.00000,20.00000,1.763744e-07,0.76965,3
321.13244, 40.25000,      1.09882, 93.02077,50.00000,20.00000,1.763744e-07,0.76732,3
323.60591, 40.50000,      1.09479, 92.89775,50.00000,20.00000,1.763480e-07,0.76497,3
326.07827, 40.75000,      1.09085, 92.77159,50.00000,20.00000,1.762160e-07,0.76262,3
328.54495, 41.00000,      1.08737, 92.63647,50.00000,20.00000,1.760791e-07,0.76028,3
331.01095, 41.25000,      1.08270, 92.47565,50.00000,20.00000,1.758647e-07,0.75793,3
333.48933, 41.50000,      1.07945, 92.29433,50.00000,20.00000,1.759170e-07,0.75557,3
335.93664, 41.75000,      1.07600, 92.10318,50.00000,20.00000,1.757931e-07,0.75324,3
338.42955, 42.00000,      1.07386, 91.89732,50.00000,20.00000,1.756772e-07,0.75086,3
340.89677, 42.25000,      1.06978, 91.65977,50.00000,20.00000,1.753589e-07,0.74850,3
343.36548, 42.50000,      1.06711, 91.40921,50.00000,20.00000,1.752347e-07,0.74615,3
345.82693, 42.75000,      1.06611, 91.14362,50.00000,20.00000,1.752244e-07,0.74380,3
348.31187, 43.00000,      1.06846, 90.86261,50.00000,20.00000,1.755559e-07,0.74142,4
350.54765, 43.25000,      1.00514, 90.55462,50.00000,20.00000,1.753820e-07,0.73929,4
352.10302, 43.50000,      0.76131, 90.15813,50.00000,20.00000,1.752266e-07,0.73781,4
352.94429, 43.75000,      0.42589, 89.72830,50.00000,20.00000,1.754499e-07,0.73700,4
353.28618, 44.00000,      0.10222, 89.28179,50.00000,20.00000,1.752267e-07,0.73668,4
353.38481, 44.25000,     -0.13267, 88.84412,50.00000,20.00000,1.751860e-07,0.73658,4
353.45521, 44.50000,     -0.25187, 88.41096,50.00000,20.00000,1.751910e-07,0.73651,4
353.60374, 44.75000,     -0.29355, 88.01201,50.00000,20.00000,1.751088e-07,0.73637,4
353.86657, 45.00000,     -0.28914, 87.60700,50.00000,20.00000,1.753766e-07,0.73612,4
354.18396, 45.25000,     -0.27231, 87.22598,50.00000,20.00000,1.750873e-07,0.73582,4
354.47470, 45.50000,     -0.27074, 86.81804,50.00000,20.00000,1.749907e-07,0.73554,4
354.68000, 45.75000,     -0.29757, 86.41353,50.00000,20.00000,1.754923e-07,0.73535,4
354.79431, 46.00000,     -0.34330, 86.03105,50.00000,20.00000,1.751642e-07,0.73524,4
354.80054, 46.25000,     -0.39706, 85.59751,50.00000,20.00000,1.753815e-07,0.73523,4
354.73161, 46.50000,     -0.44580, 85.18460,50.00000,20.00000,1.752905e-07,0.73530,4
354.62339, 46.75000,     -0.48507, 84.78205,50.00000,20.00000,1.753916e-07,0.73540,4
354.50221, 47.00000,     -0.51165, 84.38218,50.00000,20.00000,1.750138e-07,0.73552,4
354.37540, 47.25000,     -0.52736, 83.97968,50.00000,20.00000,1.751449e-07,0.73564,4
354.26925, 47.50000,     -0.53565, 83.59084,50.00000,20.00000,1.749403e-07,0.73574,4
354.15261, 47.75000,     -0.54076, 83.20352,50.00000,20.00000,1.750820e-07,0.73585,4
354.03755, 48.00000,     -0.54566, 82.80045,50.00000,20.00000,1.751646e-07,0.73596,4
353.89793, 48.25000,     -0.55133, 82.41656,50.00000,20.00000,1.747469e-07,0.73609,4
353.76587, 48.50000,     -0.55960, 82.02987,50.00000,20.00000,1.747240e-07,0.73622,4
353.61911, 48.75000,     -0.56694, 81.65871,50.00000,20.00000,1.745082e-07,0.73636,4
353.47559, 49.00000,     -0.57415, 81.29134,50.00000,20.00000,1.743382e-07,0.73650,4
353.32970, 49.25000,     -0.57903, 80.93085,50.00000,20.00000,1.746574e-07,0.73663,4
353.18433, 49.50000,     -0.58207, 80.56076,50.00000,20.00000,1.740008e-07,0.73677,4
353.03451, 49.75000,     -0.58378, 80.20437,50.00000,20.00000,1.741001e-07,0.73692,4
352.89909, 50.00000,     -0.58414, 79.85157,50.00000,20.00000,1.739230e-07,0.73705,4
352.77124, 50.25000,     -0.58439, 79.49175,50.00000,20.00000,1.738518e-07,0.73717,4
352.63784, 50.50000,     -0.58407, 79.14419,50.00000,20.00000,1.739602e-07,0.73729,4
352.51896, 50.75000,     -0.58374, 78.79297,50.00000,20.00000,1.738077e-07,0.73741,4
352.40164, 51.00000,     -0.58399, 78.45983,50.00000,20.00000,1.734840e-07,0.73752,4
352.28825, 51.25000,     -0.58395, 78.12015,50.00000,20.00000,1.735774e-07,0.73763,4
352.16986, 51.50000,     -0.58382, 77.78301,50.00000,20.00000,1.734991e-07,0.73774,4
352.06166, 51.75000,     -0.58312, 77.45368,50.00000,20.00000,1.735485e-07,0.73784,4
351.96095, 52.00000,     -0.58268, 77.11042,50.00000,20.00000,1.738572e-07,0.73794,4
351.86312, 52.25000,     -0.58138, 76.79711,50.00000,20.00000,1.735404e-07,0.73803,4
351.77031, 52.50000,     -0.58040, 76.46725,50.00000,20.00000,1.734191e-07,0.73812,4
351.68232, 52.75000,     -0.57985, 76.14169,50.00000,20.00000,1.732936e-07,0.73821,4
351.59430, 53.00000,     -0.57878, 75.84053,50.00000,20.00000,1.731988e-07,0.73829,4
351.51375, 53.25000,     -0.57771, 75.51490,50.00000,20.00000,1.735810e-07,0.73837,4
351.43864, 53.50000,     -0.57655, 75.20141,50.00000,20.00000,1.734922e-07,0.73844,4
351.36855, 53.75000,     -0.57612, 74.89659,50.00000,20.00000,1.733822e-07,0.73851,4
351.29552, 54.00000,     -0.57551, 74.58125,50.00000,20.00000,1.732512e-07,0.73858,4
351.22848, 54.25000,     -0.57529, 74.28015,50.00000,20.00000,1.731931e-07,0.73864,4
351.16478, 54.50000,     -0.57443, 73.96925,50.00000,20.00000,1.733503e-07,0.73870,4
351.10561, 54.75000,     -0.57410, 73.67250,50.00000,20.00000,1.732255e-07,0.73876,4
351.04606, 55.00000,     -0.57430, 73.35513,50.00000,20.00000,1.736302e-07,0.73881,4
350.99250, 55.25000,     -0.57278, 73.05835,50.00000,20.00000,1.729528e-07,0.73887,4
350.94625, 55.50000,     -0.57253, 72.75450,50.00000,20.00000,1.728125e-07,0.73891,4
350.89492, 55.75000,     -0.57221, 72.46389,50.00000,20.00000,1.729864e-07,0.73896,4
350.84936, 56.00000,     -0.57165, 72.16135,50.00000,20.00000,1.727899e-07,0.73900,4
350.79705, 56.25000,     -0.57085, 71.87502,50.00000,20.00000,1.730278e-07,0.73905,4
350.76480, 56.50000,     -0.57061, 71.57679,50.00000,20.00000,1.729053e-07,0.73908,4
350.71905, 56.75000,     -0.57036, 71.30080,50.00000,20.00000,1.728744e-07,0.73913,4
350.67876, 57.00000,     -0.57034, 71.01014,50.00000,20.00000,1.727483e-07,0.73916,4
350.63881, 57.25000,     -0.56995, 70.72447,50.00000,20.00000,1.728545e-07,0.73920,4
350.60823, 57.50000,     -0.56840, 70.43382,50.00000,20.00000,1.726142e-07,0.73923,4
350.57069, 57.75000,     -0.56864, 70.13718,50.00000,20.00000,1.723974e-07,0.73927,4
350.55727, 58.00000,     -0.56828, 69.85893,50.00000,20.00000,1.726532e-07,0.73928,4
350.52230, 58.25000,     -0.56828, 69.59180,50.00000,20.00000,1.730253e-07,0.73931,4
350.49668, 58.50000,     -0.56859, 69.31197,50.00000,20.00000,1.725103e-07,0.73934,4
350.46051, 58.75000,     -0.56865, 69.02861,50.00000,20.00000,1.726516e-07,0.73937,4
350.43095, 59.00000,     -0.56856, 68.75670,50.00000,20.00000,1.724788e-07,0.73940,4
350.41722, 59.25000,     -0.56869, 68.47700,50.00000,20.00000,1.724913e-07,0.73941,4
350.39575, 59.50000,     -0.56868, 68.19393,50.00000,20.00000,1.723905e-07,0.73943,4
350.37411, 59.75000,     -0.56877, 67.92622,50.00000,20.00000,1.721454e-07,0.73946,4
350.34984, 60.00000,     -0.56857, 67.65331,50.00000,20.00000,1.720777e-07,0.73948,4
350.33611, 60.25000,     -0.56870, 67.38411,50.00000,20.00000,1.722253e-07,0.73949,4
350.30991, 60.50000,     -0.56924, 67.11619,50.00000,20.00000,1.723979e-07,0.73952,4
350.29911, 60.75000,     -0.56875, 66.86349,50.00000,20.00000,1.724418e-07,0.73953,4
350.28745, 61.00000,     -0.56845, 66.58109,50.00000,20.00000,1.720284e-07,0.73954,4
350.27051, 61.25000,     -0.56839, 66.31415,50.00000,20.00000,1.724585e-07,0.73955,4
350.26658, 61.50000,     -0.56913, 66.05396,50.00000,20.00000,1.722770e-07,0.73956,4
350.25689, 61.75000,     -0.56936, 65.78418,50.00000,20.00000,1.722317e-07,0.73957,4
350.24112, 62.00000,     -0.56970, 65.50553,50.00000,20.00000,1.719363e-07,0.73958,4
350.22583, 62.25000,     -0.57004, 65.25636,50.00000,20.00000,1.719882e-07,0.73960,4
350.21178, 62.50000,     -0.57084, 64.99402,50.00000,20.00000,1.719029e-07,0.73961,4
350.19979, 62.75000,     -0.57135, 64.74071,50.00000,20.00000,1.720418e-07,0.73962,4
350.18924, 63.00000,     -0.57167, 64.47183,50.00000,20.00000,1.716712e-07,0.73963,4
350.17110, 63.25000,     -0.57234, 64.22197,50.00000,20.00000,1.719584e-07,0.73965,4
350.16642, 63.50000,     -0.57269, 63.97319,50.00000,20.00000,1.719382e-07,0.73965,4
350.16282, 63.75000,     -0.57215, 63.71508,50.00000,20.00000,1.715002e-07,0.73966,4
350.15866, 64.00000,     -0.57254, 63.45998,50.00000,20.00000,1.718249e-07,0.73966,4
350.14687, 64.25000,     -0.57265, 63.19720,50.00000,20.00000,1.719086e-07,0.73967,4
350.14495, 64.50000,     -0.57316, 62.95766,50.00000,20.00000,1.715927e-07,0.73967,4
350.13512, 64.75000,     -0.57362, 62.70070,50.00000,20.00000,1.713696e-07,0.73968,4
350.12753, 65.00000,     -0.57402, 62.45743,50.00000,20.00000,1.713929e-07,0.73969,4
350.12658, 65.25000,     -0.57428, 62.19683,50.00000,20.00000,1.715986e-07,0.73969,4
350.11647, 65.50000,     -0.57448, 61.95219,50.00000,20.00000,1.716708e-07,0.73970,4
350.12320, 65.75000,     -0.57428, 61.69686,50.00000,20.00000,1.714170e-07,0.73969,4
350.11051, 66.00000,     -0.57507, 61.46576,50.00000,20.00000,1.714548e-07,0.73971,4
350.11198, 66.25000,     -0.57524, 61.21539,50.00000,20.00000,1.718553e-07,0.73971,4
350.10794, 66.50000,     -0.57532, 60.97353,50.00000,20.00000,1.715489e-07,0.73971,4
350.10082, 66.75000,     -0.57634, 60.71795,50.00000,20.00000,1.715265e-07,0.73972,4
